year_month,state,total_enrolment,age_0_5,age_5_17,age_18_greater,total_updates,demo_age_5_17,demo_age_17_
2025-01,Andaman & Nicobar Islands,6,5,1,0,34,0,34
2025-01,Andaman and Nicobar Islands,24,22,2,0,1294,130,1164
2025-01,Andhra Pradesh,5408,3892,1179,337,679465,83881,595584
2025-01,Arunachal Pradesh,628,169,416,43,6995,854,6141
2025-01,Assam,100641,55627,31225,13789,204077,17932,186145
2025-01,Bihar,176378,64473,104798,7107,929759,81139,848620
2025-01,Chandigarh,150,117,23,10,37968,6930,31038
2025-01,Chhattisgarh,13667,9591,3049,1027,665537,51696,613841
2025-01,Dadra & Nagar Haveli,1,1,0,0,2,0,2
2025-01,Dadra and Nagar Haveli,16,16,0,0,1274,147,1127
2025-01,Dadra and Nagar Haveli and Daman and Diu,2,1,1,0,499,45,454
2025-01,Daman and Diu,3,2,1,0,225,22,203
2025-01,Delhi,39672,26512,11181,1979,670947,86948,583999
2025-01,Goa,105,67,23,15,6864,1072,5792
2025-01,Gujarat,119113,68902,39809,10402,594788,77438,517350
2025-01,Haryana,21843,17488,3715,640,464175,57867,406308
2025-01,Himachal Pradesh,303,238,29,36,32341,4555,27786
2025-01,Jammu & Kashmir,2,2,0,0,9,0,9
2025-01,Jammu and Kashmir,1387,1079,272,36,140527,21138,119389
2025-01,Jharkhand,21454,11159,9635,660,438858,19488,419370
2025-01,Karnataka,46370,28244,11740,6386,535710,105233,430477
2025-01,Kerala,2478,1363,912,203,95083,8822,86261
2025-01,Ladakh,15,10,5,0,1997,567,1430
2025-01,Lakshadweep,3,3,0,0,15,0,15
2025-01,Madhya Pradesh,116898,69536,42956,4406,1131351,164558,966793
2025-01,Maharashtra,90417,58991,27449,3977,843091,65390,777701
2025-01,Manipur,3375,780,2483,112,31871,4487,27384
2025-01,Meghalaya,86415,16257,43911,26247,27468,2296,25172
2025-01,Mizoram,2367,1551,538,278,16959,2138,14821
2025-01,Nagaland,9289,2691,5946,652,8009,764,7245
2025-01,Odisha,4647,3551,1050,46,302414,33378,269036
2025-01,Orissa,127,106,21,0,820,57,763
2025-01,Pondicherry,68,67,1,0,163,7,156
2025-01,Puducherry,80,79,0,1,5106,622,4484
2025-01,Punjab,22597,15625,5369,1603,287034,21250,265784
2025-01,Rajasthan,60656,38899,20081,1676,1144859,82589,1062270
2025-01,Sikkim,670,250,370,50,4570,333,4237
2025-01,Tamil Nadu,9842,7640,1858,344,491774,44870,446904
2025-01,Telangana,15070,10871,3754,445,414985,65046,349939
2025-01,Tripura,1415,770,539,106,31218,2233,28985
2025-01,Uttar Pradesh,329909,160688,160206,9015,2321191,183963,2137228
2025-01,Uttarakhand,4985,3855,965,165,158400,17149,141251
2025-01,WEST BENGAL,1,0,1,0,5,1,4
2025-01,West  Bengal,1,0,1,0,4,0,4
2025-01,West Bengal,56330,31596,21337,3397,782617,55580,727037
2025-02,Andaman & Nicobar Islands,1,1,0,0,31,0,31
2025-02,Andaman and Nicobar Islands,11,10,1,0,147,17,130
2025-02,Andhra Pradesh,5400,4732,639,29,44051,7775,36276
2025-02,Arunachal Pradesh,158,104,54,0,1215,198,1017
2025-02,Assam,5789,4125,1563,101,23038,2207,20831
2025-02,Bihar,15018,6572,8379,67,124278,9912,114366
2025-02,Chandigarh,82,80,2,0,729,92,637
2025-02,Chhattisgarh,3506,2764,733,9,25901,2289,23612
2025-02,Dadra & Nagar Haveli,2,2,0,0,7,1,6
2025-02,Dadra and Nagar Haveli,38,35,3,0,102,21,81
2025-02,Dadra and Nagar Haveli and Daman and Diu,8,8,0,0,82,7,75
