year_month,state,total_enrolment,age_0_5,age_5_17,age_18_greater,total_updates,demo_age_5_17,demo_age_17_,update_enrolment_ratio,enrolment_growth_rate,age_vulnerability,enrolment_volatility,aadhaar_pulse_index
2025-01,Andaman & Nicobar Islands,6,5,1,0,34,0,34,5.666666666666667,0.0,1.0,1.855921454276674,25.063718843747818
2025-02,Andaman & Nicobar Islands,1,1,0,0,31,0,31,31.0,-0.8333333333333334,1.0,1.855921454276674,24.346026717435326
2025-03,Andaman & Nicobar Islands,3,3,0,0,54,2,52,18.0,2.0,1.0,1.855921454276674,35.46490399909601
2025-04,Andaman & Nicobar Islands,5,5,0,0,55,0,55,11.0,0.6666666666666667,1.0,1.855921454276674,28.67582152934121
2025-05,Andaman & Nicobar Islands,2,2,0,0,34,1,33,17.0,-0.6,1.0,1.855921454276674,23.72736719301455
2025-08,Andaman & Nicobar Islands,1,1,0,0,23,0,23,23.0,-0.5,1.0,1.855921454276674,24.886265983338937
2025-09,Andaman & Nicobar Islands,4,3,1,0,22,1,21,5.5,3.0,1.0,1.855921454276674,38.45032544220721
2025-11,Andaman & Nicobar Islands,5,5,0,0,45,0,45,9.0,0.25,1.0,1.855921454276674,26.576483860456978
2025-12,Andaman & Nicobar Islands,2,2,0,0,36,0,36,18.0,-0.6,1.0,1.855921454276674,23.846037075223276
2025-01,Andaman and Nicobar Islands,24,22,2,0,1294,130,1164,53.916666666666664,0.0,1.0,6.180982563844154,30.790506966894593
2025-02,Andaman and Nicobar Islands,11,10,1,0,147,17,130,13.363636363636363,-0.5416666666666667,1.0,6.180982563844154,23.55748636182024
2025-03,Andaman and Nicobar Islands,12,11,1,0,217,18,199,18.083333333333332,0.09090909090909083,1.0,6.180982563844154,26.94442360932918
2025-04,Andaman and Nicobar Islands,12,11,1,0,130,12,118,10.833333333333334,0.0,1.0,6.180982563844154,25.677812875068618
2025-05,Andaman and Nicobar Islands,7,7,0,0,104,13,91,14.857142857142858,-0.41666666666666663,1.0,6.180982563844154,24.293319972822662
2025-06,Andaman and Nicobar Islands,3,3,0,0,95,10,85,31.666666666666668,-0.5714285714285714,1.0,6.180982563844154,25.596504961624543
