year_month,state,total_updates,demo_age_5_17,demo_age_17_
2025-01,Andaman & Nicobar Islands,34,0,34
2025-01,Andaman and Nicobar Islands,1294,130,1164
2025-01,Andhra Pradesh,679465,83881,595584
2025-01,Arunachal Pradesh,6995,854,6141
2025-01,Assam,204077,17932,186145
2025-01,Bihar,929759,81139,848620
2025-01,Chandigarh,37968,6930,31038
2025-01,Chhattisgarh,665537,51696,613841
2025-01,Dadra & Nagar Haveli,2,0,2
2025-01,Dadra and Nagar Haveli,1274,147,1127
2025-01,Dadra and Nagar Haveli and Daman and Diu,499,45,454
2025-01,Daman & Diu,25,2,23
2025-01,Daman and Diu,225,22,203
2025-01,Delhi,670947,86948,583999
2025-01,Goa,6864,1072,5792
2025-01,Gujarat,594788,77438,517350
2025-01,Haryana,464175,57867,406308
2025-01,Himachal Pradesh,32341,4555,27786
2025-01,Jammu & Kashmir,9,0,9
2025-01,Jammu and Kashmir,140527,21138,119389
2025-01,Jharkhand,438858,19488,419370
2025-01,Karnataka,535710,105233,430477
2025-01,Kerala,95083,8822,86261
2025-01,Ladakh,1997,567,1430
2025-01,Lakshadweep,15,0,15
2025-01,Madhya Pradesh,1131351,164558,966793
2025-01,Maharashtra,843091,65390,777701
2025-01,Manipur,31871,4487,27384
2025-01,Meghalaya,27468,2296,25172
2025-01,Mizoram,16959,2138,14821
2025-01,Nagaland,8009,764,7245
2025-01,ODISHA,4,0,4
2025-01,Odisha,302414,33378,269036
2025-01,Orissa,820,57,763
2025-01,Pondicherry,163,7,156
2025-01,Puducherry,5106,622,4484
2025-01,Punjab,287034,21250,265784
2025-01,Rajasthan,1144859,82589,1062270
2025-01,Sikkim,4570,333,4237
2025-01,Tamil Nadu,491774,44870,446904
2025-01,Telangana,414985,65046,349939
2025-01,Tripura,31218,2233,28985
2025-01,Uttar Pradesh,2321191,183963,2137228
2025-01,Uttarakhand,158400,17149,141251
2025-01,WEST BENGAL,5,1,4
2025-01,WESTBENGAL,1,0,1
2025-01,West  Bengal,4,0,4
2025-01,West Bangal,7,0,7
2025-01,West Bengal,782617,55580,727037
2025-01,West bengal,3,0,3
2025-01,Westbengal,1,0,1
2025-01,andhra pradesh,4,0,4
2025-01,odisha,1,0,1
2025-01,west Bengal,1,0,1
2025-02,Andaman & Nicobar Islands,31,0,31
2025-02,Andaman and Nicobar Islands,147,17,130
2025-02,Andhra Pradesh,44051,7775,36276
2025-02,Arunachal Pradesh,1215,198,1017
2025-02,Assam,23038,2207,20831
2025-02,Bihar,124278,9912,114366
2025-02,Chandigarh,729,92,637
2025-02,Chhattisgarh,25901,2289,23612
2025-02,Dadra & Nagar Haveli,7,1,6
2025-02,Dadra and Nagar Haveli,102,21,81
2025-02,Dadra and Nagar Haveli and Daman and Diu,82,7,75
2025-02,Daman & Diu,18,1,17
2025-02,Daman and Diu,41,6,35
2025-02,Delhi,10550,1184,9366
2025-02,Goa,765,51,714
2025-02,Gujarat,32369,2880,29489
2025-02,Haryana,14555,1729,12826
2025-02,Himachal Pradesh,2920,432,2488
2025-02,Jammu & Kashmir,13,1,12
2025-02,Jammu and Kashmir,6089,876,5213
